Date,Open,High,Low,Close,Volume
10/26/2020,"16.78","16.80","14.92","15.22","229,736,797"
10/27/2020,"15.22","15.32","13.20","13.92","126,173,695"
10/28/2020,"14.04","15.02","13.94","14.50","79,790,492"
10/29/2020,"14.50","15.20","14.38","15.16","26,882,900"
10/30/2020,"15.20","15.40","14.42","14.78","47,400,699"
11/03/2020,"14.78","14.86","14.22","14.54","29,622,100"
11/04/2020,"14.54","14.82","14.54","14.72","10,150,000"
11/05/2020,"14.74","15.02","14.72","14.98","16,903,100"
11/06/2020,"15.00","15.10","14.82","15.00","16,998,000"
11/09/2020,"15.06","15.22","14.80","14.82","10,830,100"
11/10/2020,"14.84","14.98","14.82","14.86","4,946,300"
11/11/2020,"14.86","15.12","14.86","15.10","13,590,200"
11/13/2020,"15.10","15.20","15.10","15.10","12,019,900"
11/16/2020,"15.12","15.32","15.10","15.24","12,299,000"
11/17/2020,"15.30","15.82","15.28","15.66","18,128,199"
11/18/2020,"15.66","15.76","15.62","15.70","20,245,600"
11/19/2020,"15.70","15.86","15.70","15.84","3,935,600"
11/20/2020,"15.86","16.90","15.86","16.62","20,955,301"
11/23/2020,"16.90","16.98","16.62","16.62","8,447,200"
11/24/2020,"16.62","16.62","15.80","15.98","8,453,000"
11/25/2020,"16.04","16.30","15.88","16.10","3,058,800"
11/26/2020,"16.02","16.30","15.78","15.78","3,904,100"
11/27/2020,"15.90","15.90","15.34","15.90","3,768,600"
12/01/2020,"15.90","16.18","15.62","16.00","6,784,600"
12/02/2020,"16.00","16.00","15.48","15.48","3,852,700"
12/03/2020,"15.60","15.84","15.60","15.68","6,353,500"
12/04/2020,"15.70","16.00","15.68","16.00","3,146,000"
12/07/2020,"16.00","16.00","15.82","15.90","2,941,000"
12/09/2020,"15.82","15.86","15.68","15.70","5,610,900"
12/10/2020,"15.70","15.70","15.46","15.50","3,711,800"
12/11/2020,"15.56","15.90","15.52","15.70","1,879,800"
12/14/2020,"15.70","15.88","15.66","15.70","1,827,500"
12/15/2020,"15.70","15.76","15.60","15.60","5,167,100"
12/16/2020,"15.60","15.60","15.52","15.52","4,005,800"
12/17/2020,"15.54","15.90","15.52","15.74","3,048,500"
12/18/2020,"15.74","15.84","15.62","15.78","3,008,700"
12/21/2020,"15.80","15.84","15.54","15.70","8,866,800"
12/22/2020,"15.68","15.68","15.04","15.30","14,258,400"
12/23/2020,"15.24","15.36","15.06","15.34","8,594,400"
12/28/2020,"15.28","15.28","15.08","15.20","1,602,400"
12/29/2020,"15.20","15.24","14.90","14.90","4,100,700"
01/04/2021,"14.90","15.08","14.54","15.08","3,512,900"
01/05/2021,"15.08","15.08","14.78","14.96","3,928,800"
01/06/2021,"15.00","15.04","14.74","14.84","3,413,200"
01/07/2021,"14.96","15.40","14.88","15.38","2,694,100"
01/08/2021,"15.48","15.70","15.40","15.70","5,260,300"
01/11/2021,"15.72","15.98","15.70","15.96","3,252,200"
01/12/2021,"15.96","15.96","15.58","15.74","3,198,800"
01/13/2021,"15.70","15.74","15.50","15.70","4,432,100"
01/14/2021,"15.70","15.70","15.54","15.66","3,767,900"
01/15/2021,"15.70","15.80","15.70","15.70","7,536,700"
01/18/2021,"15.70","15.72","15.60","15.66","2,873,300"
01/19/2021,"15.64","15.64","15.42","15.46","2,259,300"
01/20/2021,"15.40","15.70","15.26","15.70","1,676,200"
01/21/2021,"15.70","15.70","15.48","15.58","5,373,400"
01/22/2021,"15.40","15.58","15.40","15.56","679,000"
01/25/2021,"15.60","16.02","15.58","15.90","6,775,600"
01/26/2021,"15.90","15.90","15.48","15.50","3,165,400"
01/27/2021,"15.50","15.72","15.20","15.50","1,553,400"
01/28/2021,"15.40","15.72","15.38","15.52","1,072,400"
01/29/2021,"15.60","15.72","15.40","15.54","2,186,100"
02/01/2021,"15.52","16.10","15.52","16.00","8,327,900"
02/02/2021,"16.00","16.50","16.00","16.32","7,079,200"
02/03/2021,"16.42","16.60","16.30","16.50","8,436,300"
02/04/2021,"16.50","17.64","16.48","17.36","38,282,500"
02/05/2021,"17.50","17.60","17.06","17.20","16,544,801"
02/08/2021,"17.16","18.18","17.16","18.12","21,929,500"
02/09/2021,"18.12","19.32","18.10","18.72","12,411,500"
02/10/2021,"18.80","18.80","17.50","17.80","15,481,900"
